Titel,Synonyms,Brand Names
"Mycophenolate mofetil","Mycophenylate mofetil","CellCept; Munoloc"
"Cephaloglycin",,"Cefaloglicina [INN-Spanish]; Cefaloglycin; Cefaloglycine [INN-French]; Cefaloglycinum [INN-Latin]; CEG; Cephaloglycin anhydrous; Cephaloglycine; Cephaoglycin acid; D-Cephaloglycine; Kafocin; Kefglycin"
"Flurazepam","Flurazepam HCL","Dalmadorm; Dalmane; Felison; Felmane; Flunox; Insumin; Noctosom; Paxane; Somnol; Stauroderm; Valdorm"
"Moexipril","Moexipril HCl; Moexipril hydrochloride; Moexiprilum [INN-Latin]","Univasc"
"Phentolamine",,"Phenotolamine; Phentalamine; Phentolamine Mesilate; Phentolamine Mesylate; Phentolamine Mesylate [USAN]; Phentolamine Methanesulfonate; Phentolamine Methanesulphonate; Phentolamine, Methyl Sulfonate; Regitin; Regitin Methanesulphonate; Regitine; Regitine Mesylate; Regitine Methanesulfonate; Regitipe; Rogitine"
"Fluorescein","2-(6-Hydroxy-3-oxo-3H-xanthen-9-yl)-benzoic acid","Acid Yellow 73; Eosin; Fluorescein acid; Fluorescein disodium salt; Fluorescein disodium salt dihydrate; Fluorescein sodium; Fluorescein Sodium salt; Fluorescein, Disodium Salt, Fluorescein, disodium salt; Fluorescite; Funduscein-25; Uranin; Uranine"
"Daunorubicin",,"Acetyladriamycin; Anthracyline; Antibiotics From Streptomyces Coeruleorubidus; Cerubidin; Cerubidine; Daunamycin; Daunarubicinum; Daunoblastin; Daunomycin; Daunomycin Hydrochloride; Daunomycin, Hydrochloride; Daunorrubicina; Daunorubicin Hcl; Daunorubicin Hydrochloride; Daunorubicin, Hydrochloride; Daunorubicine; Daunorubicinum [INN-Latin]; Daunoxome; DM1; Leukaemomycin C; Ondena; Rcra Waste No. U059; Rp 13057 Hydrochloride; Rubidomycin; Rubidomycin Hydrochloride; Rubomycin C"
"Furosemide","Dihydroflumethiazide; Frusemid; Frusemide; Furosemid; Furosemida [INN-Spanish]; Furosemidu [Polish]; Furosemidum [INN-Latin]; Fursemid; Fursemida; Fursemide; Metflorylthiazidine; Methforylthiazidine","Aisemide; Aldalix; Aldic; Aluzine; Anfuramaide; Apo-Frusemide; Apo-Furosemide; Aquarid; Aquasin; Arasemide; Beronald; Bioretic; Bristab; Bristurin; Cetasix; Depix; Desal; Desdemin; Di-Ademil; Dirine; Disal; Discoid; Disemide; Diucardin; Diumide-K; Diural; Diurapid; Diuretic Salt; Diurin; Diurolasa; Diusemide; Diusil; Diuzol; Dranex; Dryptal; Durafurid; Edemid; Edenol; Eliur; Elodrine; Endural; Errolon; Eutensin; Farsix; Finuret; Fluidrol; Fluss; Franyl; Frumex; Frumide; Frumil; Frusedan; Frusema; Frusemin; Frusenex; Frusetic; Frusid; Fulsix; Fuluvamide; Fuluvamine; Furanthril; Furanthryl; Furantril; Furanturil; Furesis; Furetic; Furex; Furfan; Furix; Furmid; Furo-Basan; Furo-Puren; Furobeta; Furocot; Furodiurol; Furodrix; Furomen; Furomex; Furomide M.D.; Furorese; Furosan; Furose; Furosedon; Furosemix; Furoside; Furosifar; Furosix; Furoter; Furovite; Fursol; Fusid; Golan; Hissuflux; Hydol; Hydrenox; Hydrex; Hydro; Hydro-Rapid; Hydroled; Impugan; Jenafusid; Katlex; Kofuzon; Kolkin; Kutrix; Lasemid; Lasex; Lasiletten; Lasilix; Lasix; Lasix Retard; Lasix Special; Laxur; Lazix; Leodrine; Less Diur; Liside; Logirene; Lowpston; Lowpstron; Luscek; Macasirool; Marsemide; Mirfat; Mita; Moilarorin; Myrosemide; Nadis; Nelsix; Neo-Renal; Novosemide; Octan Draselny; Odemase; Odemex; Oedemex; Olmagran; Polysquall A; Prefemin; Profemin; Promedes; Promide; Protargen; Puresis; Radisemide; Radonna; Radouna; Retep; Rodiuran; Rontyl; Rosemide; Rosis; Rusyde; Sal Diureticum; Salinex; Salix; Salurex; Salurid; Saluron; Seguril; Selectofur; Sigasalur; Sisuril; Spirofur; Synephron; Transit; Trofurit; Uremide; Uresix; Urex; Urex-M; Urian; Uridon; Uritol; Urosemide; Vergonil; Vesix; Yidoli; Zafimida"
"Ergotamine",,"Ergomar; Ergostat; Ergotamin; Ergoton-A; Medihaler Ergotamine; Wigrettes"
"Tizanidine","Tizanidina [INN-Spanish]; Tizanidine Hcl; Tizanidinum [INN-Latin]","Sirdalud; Ternelin; Zanaflex"
"Nitrofurantoin",,"Alfuran; Apo-Nitrofurantoin; Benkfuran; Berkfurin; Ceduran; Chemiofuran; Cistofuran; Cyantin; Cystit; Dantafur; Fua Med; Fuamed; Fur-Ren; Furabid; Furachel; Furadantin; Furadantin Retard; Furadantina MC; Furadantine; Furadantine Mc; Furadantine-Mc; Furadantoin; Furadoin; Furadoine; Furadonin; Furadonine; Furadontin; Furalan; Furaloid; Furan; Furanite; Furantoin; Furantoina; Furatoin; Furedan; Furina; Furobactina; Furophen T; Furophen T-Caps; Gerofuran; It-Uran; Ituran; Ivadantin; Macpac; Macrobid; Macrodantin; Macrodantina; Macrofuran; Macrofurin; N-Toin; Nierofu; Nifurantin; Nitoin; Nitrex; Nitrofan; Nitrofur-C; Nitrofuradantin; Novo-Furantoin; Novofuran; Orafuran; Parfuran; Phenurin; Ro-Antoin; Siraliden; Trantoin; Uerineks; Upiol; Urantoin; Urizept; Uro-Selz; Uro-Tablinen; Urodin; Urofuran; Urofurin; Urolisa; Urolong; USAF EA-2; Uvaleral; Welfurin; Zoofurin"
"Nicergoline",,"MNE; Nargoline; Nicergolin [German]; Nicergolina [Dcit]; Nicergoline [Usan:Ban:Inn:Jan]; Nicergolinum [INN-Latin]; Nicotergoline; Nimergoline; Nimergoline Base; Sermion; Vasospan"
"Eplerenone","Epoxymexrenone","INSPRA"
"Amprenavir","AMP; AMV; APV; VX-478","Agenerase; Prozei; Vertex"
"Methazolamide",,"Methenamide; MZM; Naptazane; Neptazane; Neptazaneat"
"Naltrexone","naltrexone; PTI-555","Celupan; MorViva; N-Cyclopropylmethylnoroxymorphone; Naltrexona [INN-Spanish]; Naltrexone [Usan:Ban:Inn]; Naltrexone Hcl; Naltrexonum [INN-Latin]; ReVia; Vivitrex"
"Delavirdine","DLV; SPP","Bhap Der; Rescriptor"
"Tamsulosin","tamsulosin; YM-617","Flomax; Harnal; Omnic; Pradif; Tamsolusin; Tamsulosina [INN-Spanish]; Tamsulosine [INN-French]; Tamsulosinum [INN-Latin]"
"Porfimer","DHE; DHP ether; Dihematoporphyrin ether; Porfimer sodium","Photofrin"
"Sufentanil","sufentanil; Sufentanil Citrate; Sufentanilum [INN-Latin]; Sufentanyl; Sulfentanil Citrate","Chronogesic; Sufenta"
"Lamivudine","Lamivudine [Usan:Ban:Inn]","3TC; Epivir; Epivir-HBV; Hepitec; Heptovir; Zeffix"
"Ibandronate","ibandronate; Ibandronate sodium; Ibandronate sodium monohydrate; Ibandronic Acid; R484","Bondronat; Boniva; Bonviva"
"Diethylcarbamazine","Carbamazine; Carbilazine; Diethyl carbamazine; Ditrazine base; Ethodryl","Banocide; Bitirazine; Caracide; Caricide; Cypip; Decacide; Hetrazan; Notezine; Spatonin"
"Flurbiprofen","FLP; Flurbiprofen Sodium; Flurbiprofene [INN-French]; Flurbiprofeno [INN-Spanish]; Flurbiprofenum [INN-Latin]","Adfeed; Ansaid; Antadys; Apo-Flurbiprofen; Cebutid; Flurbiprofen Axetil; Flurofen; Froben; Froben Sr; Novo-Flurprofen; Nu-Flurbiprofen; Ocufen; Stayban; Zepolas"
"Oxacillin","Oxacillin Sodium","Bactocill"
"Apomorphine","Apomorfin; apomorphine; Apomorphine Hydrochloride; Apomorphine Hydrochloride Hemihydrate; Apomorphinium Chloride Hemihydrate; Apormorphine; L-Apomorphine; VR-040; VR-400; VR004","Apokyn; Ixense; Uprima"
"Paroxetine","Paroxetina [INN-Spanish]; paroxetine; Paroxetine Hcl; Paroxetinum [INN-Latin]","Aropax; Paxil; Paxil CR; Pexeva; Seroxat; Seroxat CR"
"Nedocromil",,"Alocril; Nedocromil [USAN:BAN:INN]; Nedocromilo [Spanish]; Nedocromilum [Latin]; Tilade"
"Norethindrone",,"Anhydrohydroxynorprogesterone; Anovulatorio; Anovule; Aygestin; Binovum; Brevicon; Brevinor; Brevinor 21; Brevinor 28; Brevinor-1 21; Brevinor-1 28; Camila; Ciclovulan; Conceplan; Conludaf; Conludag; Demulen; ENT; Errin; Estrinor; Ethinylnortestosterone; Ethynylmortestosterone; Ethynylnortestosterone; Gencept; Genora; Gestest; Jenest; Jenest-28; Loestrin; Loestrin 24 Fe; Menzol; Microneth; Micronett; Micronor; Micronovum; Milli; Mini-Pe; Mini-Pill; Minovlar; Modicon; N.E.E.; Necon; Nelova; Neocon; NET; Nodiol; Nor-Q.D.; Nor-Qd; Noraethisteronum; Noralutin; Norcept; Norcept-E; Norcolut; Noresthisterone; Norethadrone; Norethin; Norethin 1/35 E; Norethin 1/50 M; Norethindrone Acetate; Norethindrone Norethisterone; Norethisteron; Norethisterone; Norethisterone [Progestins]; Norethisteronum [INN-Latin]; Norethyndron; Norethynodron; Norethynodrone; Noretisterona [INN-Spanish]; Noretisterone [Dcit]; Norfor; Norgestin; Noriday; Noriday 28; Norimin; Norinyl; Norlestrin; Norlutate; Norluten; Norlutin; Norluton; Normapause; Norpregneninlone; Norpregneninolone; Norpregneninotone; Orlest; Ortho 1 35; Ortho 7 7 7; Ortho-Novum; Ortho-Novum 1 35; Ortho-Novum 1 50; Ortho-Novum 7 7 7; Ovcon; Ovysmen; Ovysmen 0.5 35; Ovysmen 1 35; Palonyl; Perovex; Primolut N; Primolut-N; Proluteasi; Synphase; Synphasic 28; Tri-Norinyl; Triella; Trinovum; Trinovum 21; Utovlan; Utovlar"
"Adefovir Dipivoxil","Adefovir; adefovir dipivoxil; Adefovir pivoxil; Adefovirdipivoxl; ADV; bis-POM PMEA; GS-840; PMEA","Hepsera; Preveon"
"Azatadine","Azatadina [INN-Spanish]; Azatadine Maleate; Azatadinum [INN-Latin]; Azatidine","Optimine"
"Clodronate","clodronate","Acide Clodronique [INN-French]; Acido Clodronico [INN-Spanish]; Acidum Clodronicum [INN-Latin]; Bonefos; Clasteon; Dichloromethanediphosphonic acid; Dichloromethylidene diphosphonate; Loron; Ostac"
"Procaine","procaine HCl","Allocaine; Anticort; Chloroprocaine Hcl; Diethylaminoethyl P-Aminobenzoate; Duracaine; Duracillin A.S.; Gerovital; Gerovital H-3; Jenacain; Jenacaine; Neocaine; Nesacaine; Nissocaine; Norocaine; Novocain; Novocaine; P-Aminobenzoyldiethylaminoethanol; Penicillin G Procaine; Pfizerpen-As; Procain; Procaine Hcl; Procaine Hydrochloride; Procaine, Base; Scurocaine; Spinocaine; Vitamin H3"
"Lisinopril",,"Acercomp; Inhibril; Linopril; Lisinopril Dihydrate; Lisipril; Lysinopril; Noperten; Presiten; Prinivil; Sinopril; Zestril"
"Methoxamine",,"Methoxamedrine; Methoxamin; Methoxaminum [INN-Latin]; Metossamina [DCIT]; Metoxamina [INN-Spanish]; Pseudomethoxamine; Vasoxine; Vasoxyl"
"Imiquimod","imiquimod; Imiquimod acetate","Aldara"
"Homatropine Methylbromide",,"Arkitropin; Camatropine; DL-Homatropine methyl bromide; DL-Methylbromide; Esopin; Homapin; Homatromide; Homatropine methyl bromide; Humulon lead salt; Hycodan, probilagol; Malcotran; Mesopin; Methyl Bromide Homatropine; Methylhomatropine; Methylhomatropine bromide; Novatrin; Novatrine; Novatropine; Npvatropine; Sed-tems; Sethyl; Tropinium methobromide mandelate"
"Trimipramine","beta-Methylimipramine; Trimeprimina [Italian]; Trimeprimine; Trimipramina [INN-Spanish]; Trimipraminum [INN-Latin]","Sapilent; Surmontil; Surmontyl; Temaril"
"Nitroglycerin","Glyceryl trinitrate; NG; nitroglycerin ointment; Nitroglycerine; NTG; TNG; Trinitroglycerin","Cellegesic; Minitran; Natispray; Nitro-Dur; Nitrocap; Nitrolingual Pump Spray; Nitronet; Nitrong parenteral; Nitrospan; Nitrostat; Rectogesic; Transderm Nitro; Tridil"
"Rocuronium",,"Rocuronium bromide; Zemuron"
"Diphemanil Methylsulfate",,"Prantal"
"Thiabendazole","2-(1,3-Thiazol-4-yl)-1H-benzimidazole; TBDZ; TBZ; Thiabendazol; Thiabendole; Thiabenzazole; Thiabenzole; Tiabendazol; Tiabendazole","Apl-Luster; Arbotect; Bioguard; Bovizole; Chemviron TK 100; Cropasal; Drawipas; Eprofil; Equivet TZ; Equizole; Hokustar hp; Hymush; Lombristop; Mertec; Mertect; Mertect 160; Mertect 340f; Mertect lsp; Metasol TK 10; Metasol TK 100; Mintesol; Mintezol; Minzolum; Mycozol; Nemacin; Nemapan; Omnizole; Ormogal; Polival; RPH; Sanaizol 100; Sistesan; Storite; TBZ 6; TBZ 60W; Tebuzate; Tecto; Tecto 10P; Tecto 40F; Tecto 60; Tecto B; Tecto rph; Testo; Thiaben; Thibendole; Thibenzol; Thibenzole; Thibenzole 200; Thibenzole att; Thiprazole; Tiabenda; Tibimix 20; Tobaz; Top form wormer; Triasox; Tubazole"
"Nateglinide","nateglinide; Nateglinide [INN]; SDZ-DJN 608","Fastic; Starlix; Starsis"
"Atracurium",,
"Pralidoxime","Pralidoxime Chloride","ComboPen; Protopam"
"Risperidone","risperdone; Risperidona [Spanish]; risperidone; Risperidonum [Latin]","Risperdal; Risperdal Consta; Risperdal M-Tab; Risperidal M-Tab; Risperin; Rispolept; Rispolin; Sequinan"
"Naftifine",,"Naftifine HCl; Naftin"
"Esomeprazole","esomeprazole; Esomeprazole Sodium; Esomperazole","Axagon; Esopral; Lucen; Nexiam; Nexium; Nexium IV"
"Meclizine",,"Ancolan; Ancolon; Antivert; Antivert/25; Antivert/50; Bonadettes; Bonadoxin; Bonamine; Bonine; Calmonal; Chiclida; Diadril; Dramamine; Dramamine II; Histamethine; Histamethizine; Histametizine; Histametizyne; Itinerol; Marex; Meclicot; Meclizine Hcl; Meclozine; Medivert; Monamine; Navicalm; Neo-Istafene; Neo-Suprimal; Neo-Suprimel; Parachloramine; Peremesin; Postafene; Ravelon; Sabari; Sea-Legs; Siguran; Subari; Suprimal; Travelon; Veritab; Vomisseis; Vomissels"
"Pentamidine","1,3-bis(4-amidinophenoxy)pentane; 4, 4'-Diamidinodiphenoxypentane; Pentamide; Pentamidine Isethionate; PNT","NebuPent; Pentacarinat; Pentam; Pentam 300; Pneumopent"
"Hetacillin",,"Hetacillin potassium; Versapen; Versapen-k"
"Riluzole","riluzole","Rilutek; Riluzole HCl"
"Hydrocortisone","11beta-Hydroxycortisone; 17alpha-Hydroxycorticosterone; Anti-inflammatory hormone; Dihydrocostisone; Hidrocortisona [INN-Spanish]; Hydrocorticosterone; Hydrocortisone Acetate; Hydrocortisone alcohol; Hydrocortisone Base; Hydrocortisone Butyrate; Hydrocortisone free alcohol; Hydrocortisone Sodium Phosphate; Hydrocortisone Valerate; Hydrocortisonum [INN-Latin]; Hydroxycortisone; Idrocortisone [DCIT]","Acticort; Aeroseb HC; Aeroseb-HC; Ala-cort; Ala-Scalp; Alacort; Algicirtis; Alphaderm; Amberin; Anflam; Anusol HC; Aquacort; Aquanil HC; Balneol-hc; Barseb HC; Basan-Corti; Beta-hc; CaldeCORT Spray; Cetacort; Clear aid; Cleiton; Cobadex; Colocort; Compound F; Cort-Dome; Cort-Quin; Cortaid; Cortanal; Cortef; Cortef Acetate; Cortenema; Cortesal; Corticreme; Cortifan; Cortifoam; Cortiment; Cortisol; Cortisol alcohol; Cortisolonum; Cortisporin; Cortisporin Otico; Cortispray; Cortolotion; Cortonema; Cortoxide; Cortril; Cremesone; Cremicort-H; Cutisol; Delacort; Derm-Aid; Dermacort; Dermaspray; Dermil; Dermocortal; Dermolate; Dioderm; Dome-cort; Domolene-HC; Dricort; Drotic; EF corlin; Efcorbin; Efcortelan; Efcortelin; Eldecort; Eldercort; Epicort; Epiderm H; Esiderm H; Evacort; Ficortril; Fiocortril; Flexicort; Foille Insetti; Genacort; Glycort; Gyno-Cortisone; H-Cort; Heb Cort; Heb-Cort; Hemsol-HC; Hi-cor; Hidalone; Hidro-Colisona; Hycort; Hycortol; Hycortole; Hydracort; Hydrasson; Hydro-adreson; Hydro-colisona; Hydrocort; Hydrocortal; Hydrocortistab; Hydrocortisyl; Hydrocortone; Hydroskin; Hysone; Hytisone; Hytone; Hytone lotion; Incortin-H; Incortin-hydrogen; Kendall's compound F; Komed HC; Kyypakkaus; Lacticare HC; Lacticare-HC; Lactisona; Locoid; Locoid Lipocream; Lubricort; Maintasone; Medicort; Meusicort; Micort-hc; Mildison; Milliderm; Neosporin-H Ear; Nogenic HC; Nutracort; Nystaform-HC; Optef; Orabase HCA; Otalgine; Otobiotic; Otocort; Otosone-F; Pandel; Pediotic Suspension; Penecort; Permicort; Polcort H; Preparation H Hydrocortisone Cream; Prepcort; Prevex HC; Proctocort; Proctofoam; Protocort; Racet; Rectoid; Reichstein's Substance M; Remederm HC; Sanatison; Scalpicin Capilar; Schericur; Scheroson F; Sigmacort; Signef; Stie-cort; Stiefcorcil; Synacort; Systral Hydrocort; Tarcortin; Tetrahydro E; Tetrahydrocompound E; Texacort; Texacort lotion 25; THE; Thyrotropic-releasing factor; Timocort; Transderma H; Traumaide; Uniderm; Urocortisone; Vioform-Hydrocortisone; VoSol HC; Vytone; Westcort; Zenoxone"
"Mannitol","Cordycepic acid; D-Mannitol; mannitol","Bronchitol; d-mannitol extra pure; Diosmol; Hexanhexol; Hexitol; Isotol; Manicol; Maniton-S; Manna sugar; Mannazucker; Mannidex; Mannigen; Mannistol; Mannit; Mannite; Mannitol 10%; Mannitol 10% In Plastic Container; Mannitol 15%; Mannitol 15% In Plastic Container; Mannitol 20%; Mannitol 20% In Plastic Container; Mannitol 25%; Mannitol 5%; Mannitol 5% In Plastic Container; Mannitol BP; Mushroom sugar; Osmitrol; Osmitrol 10% In Water; Osmitrol 15% In Water; Osmitrol 20% In Water; Osmitrol 5% In Water; Osmosal; Resectisol; Resectisol In Plastic Container; SDM-25"
"Gadobenate Dimeglumine","Gadobenic acid","Gd-BOPTA; Gd-BOPTA/Dimeg; Multihance; Multihance Multipack"
"Zileuton","zileuton; Zileutonum [INN-Latin]","Leutrol; Zyflo; Zyflo CR"
"Modafinil","Modafinil [USAN:INN]; Modafinilo [Spanish]; Modafinilum [Latin]; Moderateafinil","Modiodal; Provigil; Sparlon"
"Deferoxamine","Deferoxamide B; Deferoxamin; Deferoxamine B; Deferoxamine mesylate; Deferoxaminum; Deferrioxamine; Deferrioxamine B; Desferrioxamine; Desferrioxamine B; DF B; DFO; DFOA; DFOM; N-Benzoylferrioxamine B","Desferal; Desferan; Desferex; Desferin; Desferral; Desferrin"
"Scopolamine",,"Atrochin; Atroquin; Atroscine Hydrobromide; Beldavrin; Buscopan; Epoxytropine Tropate; Euscopol; Hydroscine Hydrobromide; Hyocine F Hydrobromide; Hyosceine; Hyoscine; Hyoscine Bromide; Hyoscine Hydrobromide; Hyoscyine Hydrobromide; Hyosol; Hysco; Isopto Hyoscine; Isoscopil; Kwells; L-Hyoscine Hydrobromide; L-Scopolamine; Methscopolamine Bromide; Oscine; Scop; Scopamin; Scopine Tropate; Scopoderm-Tts; Scopolamine Bromide; Scopolamine Hydrobromide; Scopolamine Hydrobromide Trihydrate; Scopolamine Hyoscine; Scopolaminhydrobromid; Scopolaminium Bromide; Scopolammonium Bromide; Scopos; SEE; Sereen; Skopolamin; Tranaxine; Transcop; Transderm-Scop; Transderm-V; Triptone; Tropic Acid, Ester with Scopine"
"Carbinoxamine","Carbinoxamine Maleate; Paracarbinoxamine; Paracarinoxamine","Allergefon; Clistin; Rotoxamine; Twiston"
"Etodolac","etodolac","Etodolac [Usan:Ban:Inn]; Etodolacetodolic acid; Etodolaco [INN-Spanish]; Etodolacum [INN-Latin]; Etodolic Acid; Lodine; Lodine XL; Ultradol"
"Prilocaine",,"Astra 1512; Astra 1515; Citanest; Citanest Plain; Propitocaine"
"Epinastine","Epinastina [Spanish]; epinastine; Epinastinum [Latin]","Elestat"
"Tranylcypromine",,"Dl-Tranylcypromine; Parnate; Transamine"
"Isoflurane",,"Aerrane; Ethane; Forane; Forene; Isoflurane [Usan:Ban:Inn:Jan]; Isofluranum [INN-Latin]"
"Ethotoin","Ethotoine [INN-French]; Ethotoinum [INN-Latin]; Etotoina [INN-Spanish]","Accenon; Peganone; Pegoanone"
"Tretinoin","All Trans Retinoic Acid; All Trans-Retinoic Acid; ATRA; beta-Retinoic Acid; Retionic Acid; tretinoin","Aberel; Accutane; Airol; Aknefug; Aknoten; Amnesteem; Atra-IV; Claravis; Dermairol; Eudyna; Lsotretinoin; Retisol-A; Solage; Sotret; Stieva-A; Stieva-a Forte; Tri-Luma; Vitinoin"
"Hexachlorophene",,"Acigena; Almederm; AT-7; Bilevon; Bivelon; Compound G-11; Cotofilm; Dermadex; Dial; Distodin; E-Z Scrub; Eleven; Exofene; Fascol; Fesia-Sin; Fomac; Fostril; G-Eleven; G-II; Gamophen; Gamophene; Germa-Medica; HCP; Hexa-Germ; Hexabalm; Hexachlorofen; Hexachlorophane; Hexachlorophen; Hexachlorophene, Pharma; Hexafen; Hexascrub; Hexazinone; Hexide; Hexophene; Hexosan; Isobac; Isobac 20; Nabac; Nabac 25 Ec; Neosept V; Phiso-Scrub; Phisodan; Phisohex; Pre-Op; Rcra Waste Number U132; Ritosept; Scrubteam Surgical Spongebrush; Septi-Soft; Septisol; Septofen; Soy-Dome; Ster-Zac; Steral; Steraskin; Surgi-Cen; Surgi-Cin; Surofene; Tersaseptic; Trichlorophene; Turgex"
"Dolasetron",,"Anzemet; Dolasetronum [INN-Latin]; Dolasteron"
"Clopidogrel",,"Clopidogrel [Ban:Inn]; Clopidogrel sulfate; Plavix"
"Tetracycline","Anhydrotetracycline; TC; Tetracycline HCl","Abramycin; Abricycline; Achromycin; Achromycin V; Actisite; Agromicina; Ambramicina; Ambramycin; Amycin; Bio-Tetra; Biocycline; Bristaciclin; Bristaciclina; Bristacycline; Cefracycline; Ciclibion; Copharlan; Criseociclina; Cyclopar; Cytome; Democracin; Deschlorobiomycin; Dumocyclin; Enterocycline; Hostacyclin; Lexacycline; Limecycline; Liquamycin; Medocycline; Mericycline; Micycline; Neocycline; Oletetrin; Omegamycin; Orlycycline; Panmycin; Polycycline; Polyotic; Purocyclina; Resteclin; Retet; Robitet; Roviciclina; SK-Tetracycline; Solvocin; Sumycin; TAC; Tetra-CO; Tetrabon; Tetrachel; Tetracycl; Tetracycline II; Tetracyn; Tetradecin; Tetrafil; Tetramed; Tetraverine; Tetrex; Topicycline; Tsiklomistsin; Tsiklomitsin; Veracin; Vetacyclinum"
"Meropenem","Antibiotic SM 7338; meropenem; Meropenem anhydrous; Meropenemum [INN-Latin]","Meronem; Merrem; Merrem I.V."
"Potassium Chloride","Chlorid draselny [Czech]; Chloride of potash; ClK; Dipotassium dichloride; Hydrochloric acid potassium salt (1:1); Monopotassium chloride; Potassium monochloride; Potassium thallium chloride (KTlCl); Tripotassium trichloride","Acronitol; Addi-K; Apo-K; Celeka; Cena-K; Chloropotassuril; Chloropotassuril diffu-K; Chlorvescent; Clor-K-Zaf; Colyte; Diffu-K; Duffi-K; Durekal; Durules; Durules-K; Emplets potassium chloride; Enpott; Enseal; Infalyte; K Tab; K-Care; K-Contin; K-dur; K-Grad; K-Lease; K-Lor; K-Lyte Cl; K-lyte/C1; K-Lyte/Cl; K-Norm; K-Predne-dome; K-Sol; K-SR; K-Tab; K. tab; Kadalex; Kalcorid; Kaleorid; Kaleorod; Kaliduron; Kaliglutol; Kalilente; Kalinor-Retard P; Kalinorm; Kaliolite; Kalipor; Kalipoz; Kalitabs; Kalitrans Retard; Kalium Duriles; Kalium Durules; Kalium Retard; Kalium S.R.; Kalium SR; Kalium-Durettes; Kalium-duriles; Kalium-R; Kaliumchlorid; Kaochlor; Kaon CL; Kaon Ultra; Kaon-ci; Kaon-Cl; Kaskay; Kato; Kay Ciel; Kay-cee-l; Kay-Ciel; Kay-EM; Kayback; KCl; KCL Retard; KCl-retard Zyma; Kelp salt; Keylyte; Klor-Con; Klor-Con M20; Klor-Lyte; Kloren; Klorvess; Klotrix; KM potassium chloride; Kolyum; KSR; Lento-K; Lento-kalium; Leo K; Leo-K; Micro-K; Micro-K Extentcaps; Micro-K LS; Micro-Kalium Retard; Miopotasio; Muriate of potash; Natural sylvite; Neobakasal; Nu-K; Peter-kal; Pfiklor; Plus Kalium Retard; Potasion; Potasol; Potassium Chloride 10meq in Plastic Container; Potassium Chloride BP; Potassium muriate; Potavescent; Rekawan; Rekawan Retard; Repone K; Repone-K; Rum-K; Sal digestnum sylvii; Sando-K; Selora; Slow-K; Span-K; Steropotassium; Super K; Ten-K; Trona muriate of potash; Trona potassium chloride; Ultra K Chlor; Ultra-K-Chlor"
"Irinotecan","irinotecan; Irinotecan Hcl; Irinotecan Hydrochloride; Irinotecan Hydrochloride Trihydrate; Irinotecanum [INN-Latin]","Camptosar; CP0; IRINOTECAN, CPT-11"
"Methimazole","Mercaptazole; Mercasolyl; Mercazole; Mercazolyl; Merkazolil; Metazolo; Methamazole; Methiamazole; Methimazol; Metothyrin; Metothyrine; Thiamazol; Thiamazole; Thimazole; Thymidazol; Thymidazole","Basolan; Danantizol; Favistan; Frentirox; Merkastan; Metizol; Metotirin; Strumazol; Strumazole; Tapazole; Tapuzole; Thacapzol; Thycapsol; Thycapzol"
"Mometasone",,"Asmanex; Asmanex Twisthaler; Elocom; Elocon; Mometasone furoate; Nasonex"
"Metyrosine","Methyltyrosine; Metirosine","Demser"
"Clavulanate","Clavulanic Acid",
"Benzquinamide",,"Benzchinamide; BZQ; Emete-con; Emeticon; Promecon; Quantril"
"Olopatadine",,"Olopatadine Hydrochloride; Patanol"
"Hydrocortamate",,"Hydrocortamate Hydrochloride; Magnacort; Ulcort"
"Alprostadil","alprostadil","Alista; Alprostadil Prostoglandin E1; Alprox-TD; Befar; Caverject; Edex; Femprox; l-Prostaglandin E1; Muse; PGE1; Prink; Prostaglandin E1; Prostin VR; Prostin VR Pediatric; Topiglan"
"Clidinium",,"Quarzan"
"Malathion","Carbofos; Carbophos; Compound 4049; Experimental insecticide 4049; Insecticide no. 4049; malathion; Malathione; Maldison; Mercaptosuccinic acid diethyl ester; Mercaptothion; Mercaptotion; MLT; Oleophosphothion","Calmathion; Carbethoxy malathion; Carbetovur; Carbetox; Celthion; Chemathion; Cimexan; Cleensheen; Cythion; Derbac-M; Detmol MA; Emmatos; Emmatos extra; Ethiolacar; Etiol; Extermathion; Fog 3; Formal; Forthion; Fosfothion; Fosfotion; Fosfotion 550; Fyfanon; Hilthion; Hilthion 25WDP; Karbofos; Kop-thion; Kop-Thionkypfosmalacide; Kypfos; Latka 4049; Lice Rid; Malacide; Malafor; Malagran; Malakill; Malamar; Malamar 50; Malaphele; Malaphos; Malasol; Malaspray; Malathion 60; Malathion E50; Malathion LV Concentrate; Malathiozoo; Malathon; Malation; Malatol; Malatox; Malmed; Malphos; Maltox; Maltox MLT; Moscarda; OMS 1; Organoderm; Ortho Malathion; Ovide; Phosphothion; Prioderm; Sadofos; Sadofos 30; Sadophos; Siptox I; Staeubol-Puder; Suleo-M; Sumitox; TAK; Taskil; Vegfru malatox; Vetiol; Zithiol"
"Etoposide","(-)-Etoposide; Etoposidum [INN-Latin]; trans-Etoposide","Eposin; Etopophos; Lastet; Toposar; Vepesid; Vepesid J; Zuyeyidal"
